freq|lang|isSpecial|baseTerm|hasPlural|hasPossessive|baseFreq|pluralFreq|possessiveFreq
23|EN|0|competent|||23|0|0
23|EN|0|consequence|s||0|23|0
23|EN|0|determination|s||12|11|0
23|EN|0|devotion|s||14|9|0
23|EN|0|disaster|s||18|5|0
23|EN|0|dissolution|||23|0|0
23|EN|0|drum|s||9|14|0
23|EN|0|event|s||5|18|0
23|EN|0|faint|s||6|17|0
23|EN|0|fisherman||'s|6|0|17
23|EN|0|fourfold|||23|0|0
23|EN|0|frequently|||23|0|0
23|EN|0|hawk|s||15|8|0
23|EN|0|impurities|||23|0|0
23|EN|0|killer|s||8|15|0
23|EN|0|luminous|||23|0|0
23|EN|0|maintenance|||23|0|0
23|EN|0|methodically|||23|0|0
23|EN|0|morsel|s||11|12|0
23|PI|1|nāgita|||23|0|0
23|PI|0|nandaka||'s|19|0|4
23|EN|0|private|||23|0|0
23|EN|0|reading|||23|0|0
23|EN|0|reappearance|||23|0|0
23|EN|0|recently|||23|0|0
23|EN|0|relay|||23|0|0
23|EN|0|releasing|||23|0|0
23|EN|0|relying|||23|0|0
23|EN|0|request|s||7|16|0
23|EN|0|rubbing|||23|0|0
23|EN|0|salty|||23|0|0
23|EN|0|scatter|s||14|9|0
23|EN|0|sickness|||23|0|0
23|EN|0|sleeping|||23|0|0
23|EN|0|star|s||6|17|0
23|EN|0|stomach|||23|0|0
23|EN|0|strengthened|||23|0|0
23|EN|0|stupid|||23|0|0
23|EN|0|supposition|s||21|2|0
23|EN|0|thirsty|||23|0|0
23|EN|0|unalert|||23|0|0
23|EN|0|unsullied|||23|0|0
23|PI|1|vāseṭṭha|||23|0|0
23|EN|0|western|||23|0|0
23|EN|0|winged|||23|0|0
23|PI|0|yamaka|||23|0|0
22|PI|1|āḷavī||'s|20|0|2
22|EN|0|aspect|s||0|22|0
22|EN|0|bedding|s||21|1|0
22|EN|0|belonging|s||12|10|0
22|PI|1|bhūmija||'s|16|0|6
22|EN|0|careful|||22|0|0
22|EN|0|categories|||22|0|0
22|EN|0|chewing|||22|0|0
22|EN|0|consistent|||22|0|0
22|EN|0|constitute|s||12|10|0
22|EN|0|continue|||22|0|0
22|EN|0|crocodile|s||16|6|0
22|EN|0|crowded|||22|0|0
22|EN|0|descent|s||21|1|0
22|EN|0|description|s||21|1|0
22|EN|0|desolate|||22|0|0
22|EN|0|detriment|||22|0|0
22|PI|1|dīghāvu|||22|0|0
22|EN|0|discrimination|||22|0|0
22|EN|0|dive|s||6|16|0
22|EN|0|doubtful|||22|0|0
22|EN|0|egg|s||9|13|0
22|EN|0|examining|||22|0|0
22|EN|0|falter|s||5|17|0
22|EN|0|feeding|||22|0|0
22|EN|0|forwardly|||22|0|0
22|PI|0|ghosita||'s|0|0|22
22|EN|0|grab|s||7|15|0
22|EN|0|guest|s||11|11|0
22|EN|0|hate|||22|0|0
22|PI|0|hatthaka|||22|0|0
22|EN|0|hinterland|s||21|1|0
22|EN|0|imagine|s||21|1|0
22|EN|0|impression|s||0|22|0
22|EN|0|knee|s||11|11|0
22|EN|0|limitless|||22|0|0
22|EN|0|lowly|||22|0|0
22|PI|1|māgandiya|||22|0|0
22|EN|0|marvel|s||4|18|0
22|EN|0|murderer|s||18|4|0
22|PI|0|nandiya|||22|0|0
22|EN|0|none|||22|0|0
22|PI|1|opāsāda|||22|0|0
22|EN|0|ordered|||22|0|0
22|EN|0|overpowered|||22|0|0
22|EN|0|pacing|||22|0|0
22|EN|0|plunged|||22|0|0
22|EN|0|pondered|||22|0|0
22|EN|0|prosper|s||15|7|0
22|EN|0|raw|||22|0|0
22|EN|0|repeated|||22|0|0
22|EN|0|repelled|||22|0|0
22|EN|0|revert|s||7|15|0
22|EN|0|rousing|||22|0|0
22|EN|0|sacrificial|||22|0|0
22|PI|0|sela||'s|21|0|1
22|EN|0|sesame|||22|0|0
22|PI|1|sīha|||22|0|0
22|EN|0|social|||22|0|0
22|EN|0|spit|||22|0|0
22|EN|0|standpoint|s||7|15|0
22|EN|0|steel|s||17|5|0
22|EN|0|stroke|s||6|16|0
22|EN|0|suffer|s||11|11|0
22|EN|0|suitable|||22|0|0
22|EN|0|tamer||'s|18|0|4
22|EN|0|tormented|||22|0|0
22|EN|0|toy|||22|0|0
22|EN|0|try|||22|0|0
22|EN|0|tusk|s||12|10|0
22|EN|0|unimpeded|||22|0|0
22|EN|0|unreal|||22|0|0
22|EN|0|upset|||22|0|0
22|EN|0|urgency|||22|0|0
22|EN|0|utter|s||16|6|0
22|PI|0|vacchagotta|||22|0|0
22|EN|0|vanishes|||22|0|0
22|EN|0|wriggling|s||20|2|0
21|EN|0|abashed|||21|0|0
21|EN|0|accepted|||21|0|0
21|EN|0|acquired|||21|0|0
21|EN|0|aglow|||21|0|0
21|EN|0|amend|s||0|21|0
21|EN|0|approval|||21|0|0
21|EN|0|association|||21|0|0
21|EN|0|bandit|s||11|10|0
21|EN|0|blissful|||21|0|0
21|EN|0|brighten|s||8|13|0
21|EN|0|carefully|||21|0|0
21|2E|0|circumambulated|||21|0|0
21|EN|0|cloak|||21|0|0
21|EN|0|colored|s||20|1|0
21|EN|0|concerned|||21|0|0
21|EN|0|conjoined|||21|0|0
21|EN|0|creature|s||1|20|0
21|EN|0|defecating|||21|0|0
21|EN|0|deities|||21|0|0
21|EN|0|disgrace|||21|0|0
21|EN|0|divested|||21|0|0
21|EN|0|downfall|||21|0|0
21|EN|0|dusty|||21|0|0
21|EN|0|feces|||21|0|0
21|EN|0|fingernail|s||20|1|0
21|EN|0|fuel|||21|0|0
21|PI|0|gavesin|||21|0|0
21|EN|0|gravel|||21|0|0
21|EN|0|health|||21|0|0
21|EN|0|hemmed|||21|0|0
21|EN|0|hillside|||21|0|0
21|EN|0|hook|s||14|7|0
21|EN|0|ignoble|||21|0|0
21|EN|0|indulged|||21|0|0
21|EN|0|investigate|s||11|10|0
21|EN|0|irritation|||21|0|0
21|EN|0|limpid|||21|0|0
21|EN|0|magic|||21|0|0
21|EN|0|maiden|s||15|6|0
21|EN|0|manifest|||21|0|0
21|EN|0|memories|||21|0|0
21|EN|0|meritorious|||21|0|0
21|EN|0|mount|s||18|3|0
21|EN|0|nail|s||0|21|0
21|EN|0|nymph|s||3|18|0
21|EN|0|onto|||21|0|0
21|EN|0|opportunity|||21|0|0
21|EN|0|perceived|||21|0|0
21|EN|0|picked|||21|0|0
21|EN|0|pillar|||21|0|0
21|EN|0|pride|||21|0|0
21|PI|1|rāma|||21|0|0
21|EN|0|recitation|s||18|3|0
21|EN|0|relishes|||21|0|0
21|EN|0|roll|s||14|7|0
21|PI|1|sañjaya|||21|0|0
21|PI|1|sāti|||21|0|0
21|EN|0|searches|||21|0|0
21|EN|0|selfishness|||21|0|0
21|EN|0|soft|||21|0|0
21|EN|0|succeed|s||12|9|0
21|PI|0|sunakkhatta|||21|0|0
21|PI|0|sundarika|||21|0|0
21|EN|0|suspicion|||21|0|0
21|EN|0|they've|||21|0|0
21|EN|0|trust|s||18|3|0
21|EN|0|uncertain|||21|0|0
21|EN|0|unskilled|||21|0|0
21|EN|0|uphold|s||0|21|0
21|EN|0|upon|||21|0|0
21|EN|0|urinating|||21|0|0
21|PI|1|visākha|||21|0|0
21|EN|0|watered|||21|0|0
21|EN|0|worried|||21|0|0
21|EN|0|wounded|||21|0|0
20|EN|0|advocate|s||18|2|0
20|PI|1|anurādha|||20|0|0
20|2E|0|aversive|||20|0|0
20|PI|1|bāvarī||'s|17|0|3
20|EN|0|big|||20|0|0
20|EN|0|blemished|||20|0|0
20|EN|0|chase|s||16|4|0
20|EN|0|cleansing|||20|0|0
20|EN|0|commit|s||18|2|0
20|EN|0|corrected|||20|0|0
20|EN|0|dazzle|s||10|10|0
20|EN|0|dearer|||20|0|0
20|EN|0|decrease|||20|0|0
20|EN|0|dedicated|||20|0|0
20|EN|0|depend|s||11|9|0
20|EN|0|depending|||20|0|0
20|EN|0|desirable|||20|0|0
20|EN|0|directing|||20|0|0
20|EN|0|discernible|||20|0|0
20|EN|0|doer|s|'s|16|3|1
20|EN|0|duality|||20|0|0
20|EN|0|eel|||20|0|0
20|EN|0|excited|||20|0|0
20|EN|0|expectation|s||0|20|0
20|EN|0|explore|s||5|15|0
20|EN|0|factored|||20|0|0
20|EN|0|fat|||20|0|0
20|EN|0|fight|s||4|16|0
20|EN|0|filthy|||20|0|0
20|2E|0|gatekeeper|||20|0|0
20|EN|0|help|||20|0|0
20|EN|0|hero|||20|0|0
20|EN|0|hit|s||18|2|0
20|EN|0|impurity|||20|0|0
20|EN|0|indra|s|'s|17|1|2
20|EN|0|indulge|s||12|8|0
20|EN|0|instance|s||6|14|0
20|PI|1|keṇiya||'s|19|0|1
20|PI|0|kuru|s||5|15|0
20|EN|0|learn|s||18|2|0
20|EN|0|lending|||20|0|0
20|EN|0|leper||'s|18|0|2
20|EN|0|limit|s||14|6|0
20|EN|0|merely|||20|0|0
20|EN|0|method|||20|0|0
20|EN|0|muslin|||20|0|0
20|2E|0|newcoming|||20|0|0
20|EN|0|originated|||20|0|0
20|EN|0|pacification|||20|0|0
20|EN|0|pained|||20|0|0
20|EN|0|plow|s|'s|11|8|1
20|EN|0|pole|s||14|6|0
20|EN|0|polite|||20|0|0
20|EN|0|posture|s||17|3|0
20|EN|0|pu|s||0|20|0
20|EN|0|purify|||20|0|0
20|EN|0|pyre|||20|0|0
20|EN|0|real|||20|0|0
20|EN|0|reception|||20|0|0
20|EN|0|recognized|||20|0|0
20|EN|0|responsive|||20|0|0
20|EN|0|retreat|||20|0|0
20|EN|0|rope|s||18|2|0
20|EN|0|rough|||20|0|0
20|EN|0|ruin|s||19|1|0
20|EN|0|salt|||20|0|0
20|EN|0|sandalwood|||20|0|0
20|EN|0|shrink|s||0|20|0
20|EN|0|soil||'s|19|0|1
20|EN|0|soup|||20|0|0
20|EN|0|spotless|||20|0|0
20|EN|0|springing|||20|0|0
20|EN|0|squadron|||20|0|0
20|PI|0|subhadda|||20|0|0
20|EN|0|swallow|s||19|1|0
20|EN|0|tenable|||20|0|0
20|EN|0|unagitated|||20|0|0
20|EN|0|untimely|||20|0|0
20|PI|0|vepacitti|||20|0|0
20|EN|0|win|s||15|5|0
20|EN|0|wisdom||'s|17|0|3
19|PI|1|āḷavaka|||19|0|0
19|EN|0|alive|||19|0|0
19|EN|0|allay|s||4|15|0
19|EN|0|archer|s|'s|10|7|2
19|EN|0|arousing|||19|0|0
19|EN|0|barley|||19|0|0
19|EN|0|bestow|||19|0|0
19|EN|0|binding|s||18|1|0
19|EN|0|brightened|||19|0|0
19|EN|0|ceremony|||19|0|0
19|EN|0|certainly|||19|0|0
19|EN|0|completed|||19|0|0
19|EN|0|corresponding|||19|0|0
19|EN|0|corrupted|||19|0|0
19|EN|0|cotton|||19|0|0
19|EN|0|crop|s||3|16|0
19|EN|0|cultivate|s||10|9|0
19|EN|0|cultivating|||19|0|0
19|EN|0|demon|s||2|17|0
19|EN|0|dialogue|s||0|19|0
19|EN|0|distaste|||19|0|0
19|EN|0|dollar|s||13|6|0
19|EN|0|eleven|||19|0|0
19|EN|0|engaging|||19|0|0
19|2E|0|eternalism|||19|0|0
19|EN|0|evident|||19|0|0
19|EN|0|examination|||19|0|0
19|EN|0|excellence|||19|0|0
19|EN|0|except|||19|0|0
19|EN|0|expansive|||19|0|0
19|EN|0|extending|||19|0|0
19|EN|0|fetch|||19|0|0
19|EN|0|fettering|||19|0|0
19|EN|0|finger|s||8|11|0
19|EN|0|fortnight|s||13|6|0
19|EN|0|golden|||19|0|0
19|EN|0|heading|||19|0|0
19|EN|0|impermanent|||19|0|0
19|EN|0|initiative|||19|0|0
19|EN|0|intended|||19|0|0
19|EN|0|interrupted|||19|0|0
19|EN|0|invaded|||19|0|0
19|EN|0|invite|s||10|9|0
19|PI|0|isidatta||'s|17|0|2
19|EN|0|jackal|s||15|4|0
19|PI|0|jayasena||'s|16|0|3
19|EN|0|kidney|s||6|13|0
19|EN|0|kinsman||'s|18|0|1
19|EN|0|lasting|||19|0|0
19|EN|0|loved|||19|0|0
19|EN|0|mentally|||19|0|0
19|EN|0|mortal|s||11|8|0
19|EN|0|mosquitoes|||19|0|0
19|EN|0|newcomer|s||5|14|0
19|EN|0|pasture|s||11|8|0
19|EN|0|preference|s||15|4|0
19|EN|0|pursuit|s||18|1|0
19|EN|0|robber|s||2|17|0
19|EN|0|rocky|||19|0|0
19|EN|0|sacrificed|||19|0|0
19|EN|0|satisfy|||19|0|0
19|EN|0|settled|||19|0|0
19|EN|0|showing|||19|0|0
19|EN|0|stability|||19|0|0
19|EN|0|tolerate|s||14|5|0
19|EN|0|torch|||19|0|0
19|EN|0|unafflicted|||19|0|0
19|EN|0|unhappy|||19|0|0
19|EN|0|untroubled|||19|0|0
19|EN|0|vanish|||19|0|0
19|EN|0|vitality|||19|0|0
19|EN|0|washing|||19|0|0
19|EN|0|wavering|s||18|1|0
19|EN|0|weariness|||19|0|0
19|EN|0|weren't|||19|0|0
19|EN|0|whip|s||7|12|0
19|EN|0|who've|||19|0|0
18|PI|1|abhibhū|||18|0|0
18|EN|0|acquiring|||18|0|0
18|EN|0|admonish|||18|0|0
18|EN|0|affirm|s||9|9|0
18|EN|0|alarm|s||8|10|0
18|EN|0|alien|||18|0|0
18|EN|0|analogy|||18|0|0
18|EN|0|ashamed|||18|0|0
18|EN|0|assistance|||18|0|0
18|EN|0|associated|||18|0|0
18|PI|0|baka|||18|0|0
18|EN|0|bathing|||18|0|0
18|EN|0|belly||'s|17|0|1
18|2P|0|brahma|s||15|3|0
18|EN|0|breaching|||18|0|0
18|EN|0|capital|s||15|3|0
18|EN|0|celibacy|||18|0|0
18|EN|0|chest|||18|0|0
18|EN|0|circled|||18|0|0
18|EN|0|consuming|||18|0|0
18|EN|0|controlled|||18|0|0
18|EN|0|correctly|||18|0|0
18|EN|0|cosmetic|s||1|17|0
18|EN|0|cry|||18|0|0
18|EN|0|dawn|||18|0|0
18|EN|0|deeply|||18|0|0
18|EN|0|dejected|||18|0|0
18|EN|0|delineating|||18|0|0
18|EN|0|discarded|||18|0|0
18|EN|0|disclosed|||18|0|0
18|EN|0|discussed|||18|0|0
18|EN|0|disintegration|||18|0|0
18|EN|0|dread|||18|0|0
18|EN|0|drift|||18|0|0
18|EN|0|dullard|s||14|4|0
18|EN|0|establish|||18|0|0
18|EN|0|exactly|||18|0|0
18|EN|0|failure|||18|0|0
18|EN|0|falsehood|s||17|1|0
18|EN|0|feminine|||18|0|0
18|EN|0|forerunner|||18|0|0
18|EN|0|gladdened|||18|0|0
18|EN|0|harshly|||18|0|0
18|EN|0|healthy|||18|0|0
18|EN|0|highly|||18|0|0
18|EN|0|incur|s||15|3|0
18|EN|0|intellectual|||18|0|0
18|EN|0|investigating|||18|0|0
18|EN|0|invisible|||18|0|0
18|EN|0|joint|s||2|16|0
18|EN|0|lute|s||16|2|0
18|EN|0|masculine|||18|0|0
18|EN|0|meager|||18|0|0
18|EN|0|mere|||18|0|0
18|EN|0|mirror|s||16|2|0
18|EN|0|motion|||18|0|0
18|EN|0|normally|||18|0|0
18|EN|0|oblation|s||6|12|0
18|EN|0|opposing|||18|0|0
18|EN|0|oppression|||18|0|0
18|EN|0|penetration|||18|0|0
18|EN|0|perfume|s||6|12|0
18|PI|0|phagguna|||18|0|0
18|EN|0|playfully|||18|0|0
18|EN|0|plenitude|||18|0|0
18|EN|0|plunder|s||16|2|0
18|EN|0|prison|||18|0|0
18|EN|0|providing|||18|0|0
18|EN|0|pulled|||18|0|0
18|EN|0|questioned|||18|0|0
18|EN|0|resolved|||18|0|0
18|EN|0|roofed|||18|0|0
18|PI|1|sāketa|||18|0|0
18|EN|0|saliva|||18|0|0
18|EN|0|scrupulous|||18|0|0
18|EN|0|sequel|||18|0|0
18|EN|0|serene|||18|0|0
18|EN|0|shadow|||18|0|0
18|EN|0|shaven|||18|0|0
18|EN|0|shiver|s||12|6|0
18|EN|0|shoot|s||14|4|0
18|EN|0|shown|||18|0|0
18|EN|0|sixteenth|||18|0|0
18|EN|0|skeleton|||18|0|0
18|EN|0|spring|s||9|9|0
18|EN|0|strain|||18|0|0
18|EN|0|summary|||18|0|0
18|EN|0|surgeon||'s|14|0|4
18|EN|0|tail|||18|0|0
18|EN|0|talkative|||18|0|0
18|EN|0|trembling|||18|0|0
18|PI|0|ugga|||18|0|0
18|EN|0|undergo|||18|0|0
18|EN|0|unmuddled|||18|0|0
18|EN|0|untamed|||18|0|0
18|PI|0|vappa|||18|0|0
18|EN|0|vine|s||11|7|0
18|PI|1|visākhā|||18|0|0
18|EN|0|wave|s||2|16|0
18|EN|0|whale|s||12|6|0
17|EN|0|achieved|||17|0|0
17|EN|0|admonished|||17|0|0
17|EN|0|analogies|||17|0|0
17|EN|0|analyzed|||17|0|0
17|EN|0|antelope|||17|0|0
17|EN|0|applies|||17|0|0
17|EN|0|ardently|||17|0|0
17|EN|0|assailed|||17|0|0
17|EN|0|attentively|||17|0|0
17|PI|1|bārāṇasī|||17|0|0
17|EN|0|barren|||17|0|0
17|EN|0|bathe|s||15|2|0
17|EN|0|beloved|||17|0|0
17|EN|0|butter|||17|0|0
17|EN|0|calling|||17|0|0
17|EN|0|causing|||17|0|0
17|EN|0|cavalry|||17|0|0
17|PI|0|channa|||17|0|0
17|2E|0|circumambulating|||17|0|0
17|EN|0|civilized|||17|0|0
17|EN|0|concern|||17|0|0
17|EN|0|conch|s||11|6|0
17|EN|0|conditioned|||17|0|0
17|EN|0|conjunction|||17|0|0
17|EN|0|continually|||17|0|0
17|EN|0|contrary|||17|0|0
17|EN|0|courtesan||'s|15|0|2
17|EN|0|crag|s||7|10|0
17|EN|0|creeper|s|'s|13|2|2
17|EN|0|crosswise|||17|0|0
17|EN|0|crown|||17|0|0
17|EN|0|deceit|s||15|2|0
17|EN|0|decrepit|||17|0|0
17|EN|0|departed|||17|0|0
17|EN|0|devotee|s||11|6|0
17|EN|0|dried|||17|0|0
17|EN|0|drive|s||14|3|0
17|2E|0|dualities|||17|0|0
17|EN|0|encounter|s||0|17|0
17|EN|0|entrenchment|s||14|3|0
17|EN|0|establishes|||17|0|0
17|EN|0|excessive|||17|0|0
17|EN|0|exclamation|s||5|12|0
17|EN|0|explaining|||17|0|0
17|EN|0|failing|s||4|13|0
17|EN|0|faring|||17|0|0
17|EN|0|faulted|||17|0|0
17|EN|0|feeble|||17|0|0
17|EN|0|finally|||17|0|0
17|EN|0|formulated|||17|0|0
17|PI|1|gosāla||'s|16|0|1
17|EN|0|grabbing|||17|0|0
17|EN|0|haunt|||17|0|0
17|EN|0|idiosyncratic|||17|0|0
17|EN|0|imprisonment|||17|0|0
17|EN|0|infatuation|||17|0|0
17|EN|0|infused|||17|0|0
17|EN|0|intensely|||17|0|0
17|PI|1|kevaṭṭa|||17|0|0
17|EN|0|mainly|||17|0|0
17|PI|0|meghiya|||17|0|0
17|EN|0|observing|||17|0|0
17|EN|0|penalties|||17|0|0
17|EN|0|perform|s||14|3|0
17|EN|0|persist|||17|0|0
17|EN|0|personal|||17|0|0
17|EN|0|pierced|||17|0|0
17|EN|0|pregnant|||17|0|0
17|EN|0|pristine|||17|0|0
17|EN|0|reclining|||17|0|0
17|EN|0|relinquish|||17|0|0
17|EN|0|revel|s||16|1|0
17|EN|0|riddle|||17|0|0
17|EN|0|riding|||17|0|0
17|EN|0|sadness|||17|0|0
17|EN|0|sand|||17|0|0
17|EN|0|separated|||17|0|0
17|EN|0|shield|s||13|4|0
17|EN|0|sovereign|s||16|1|0
17|EN|0|sovereignty|||17|0|0
17|EN|0|stabbing|||17|0|0
17|EN|0|subjugated|||17|0|0
17|EN|0|themeless|||17|0|0
17|PI|0|timbarukkha|||17|0|0
17|EN|0|turban|s||15|2|0
17|EN|0|tusker|s|'s|14|2|1
17|EN|0|undiscerning|||17|0|0
17|EN|0|undone|||17|0|0
17|EN|0|uneducated|||17|0|0
17|EN|0|urge|s||11|6|0
17|PI|1|vedehikā|||17|0|0
17|EN|0|vessel|s||14|3|0
17|EN|0|victory|||17|0|0
17|EN|0|villager|s|'s|0|7|10
17|EN|0|wait|||17|0|0
17|EN|0|weep|s||11|6|0
17|EN|0|welcoming|||17|0|0
16|EN|0|allayed|||16|0|0
16|EN|0|annoyance|||16|0|0
16|EN|0|armies|||16|0|0
16|EN|0|austerities|||16|0|0
16|EN|0|beautification|||16|0|0
16|EN|0|bending|||16|0|0
16|EN|0|benefactor|s||12|4|0
16|EN|0|bladed|||16|0|0
16|EN|0|cake|s||15|1|0
16|EN|0|caught|||16|0|0
16|EN|0|clay|||16|0|0
16|EN|0|closely|||16|0|0
16|EN|0|comfortably|||16|0|0
16|EN|0|compassionate|||16|0|0
16|EN|0|counsel|||16|0|0
16|EN|0|crushed|||16|0|0
16|PI|1|cūḷa|||16|0|0
16|EN|0|dancing|||16|0|0
16|EN|0|deadly|||16|0|0
16|EN|0|diffused|||16|0|0
16|EN|0|diligence|||16|0|0
16|EN|0|dismissed|||16|0|0
16|EN|0|distance|s||14|2|0
16|EN|0|doctor|s||15|1|0
16|EN|0|effulgent|||16|0|0
16|EN|0|enduring|||16|0|0
16|EN|0|envisioning|||16|0|0
16|EN|0|evaluate|s||3|13|0
16|EN|0|faction|s||3|13|0
16|EN|0|farmer|s||8|8|0
16|EN|0|fast|||16|0|0
16|EN|0|fathomed|||16|0|0
16|EN|0|fly|||16|0|0
16|EN|0|ford|s||6|10|0
16|EN|0|foul|||16|0|0
16|EN|0|fraudulent|||16|0|0
16|EN|0|garden|s||15|1|0
16|PI|1|gayā|||16|0|0
16|EN|0|goaded|||16|0|0
16|EN|0|guarantor|||16|0|0
16|PI|1|hatthisārīputta||'s|14|0|2
16|EN|0|heedfully|||16|0|0
16|EN|0|heeding|||16|0|0
16|EN|0|heroes|||16|0|0
16|EN|0|hole|s||9|7|0
16|EN|0|inflict|s||12|4|0
16|EN|0|intoxicant|s||0|16|0
16|EN|0|invited|||16|0|0
16|EN|0|involved|||16|0|0
16|PI|1|jambukhādaka|||16|0|0
16|EN|0|jujube|s||12|4|0
16|EN|0|lavish|||16|0|0
16|EN|0|law|s||14|2|0
16|EN|0|lawfulness|||16|0|0
16|EN|0|linen|||16|0|0
16|EN|0|marrow|||16|0|0
16|EN|0|moisture|||16|0|0
16|EN|0|mucus|||16|0|0
16|EN|0|mutilating|||16|0|0
16|PI|1|nāla|||16|0|0
16|EN|0|occasional|||16|0|0
16|EN|0|oppressed|||16|0|0
16|PI|1|pahārāda|||16|0|0
16|EN|0|partaken|||16|0|0
16|EN|0|perseverance|||16|0|0
16|EN|0|plunging|||16|0|0
16|EN|0|produced|||16|0|0
16|EN|0|properly|||16|0|0
16|EN|0|purged|||16|0|0
16|EN|0|quail|s||14|2|0
16|PI|1|rāmaputta|||16|0|0
16|EN|0|reache|s||0|16|0
16|EN|0|reality|||16|0|0
16|EN|0|reasonable|||16|0|0
16|EN|0|reckoning|||16|0|0
16|EN|0|referring|||16|0|0
16|EN|0|relentlessness|||16|0|0
16|EN|0|respectful|||16|0|0
16|EN|0|safely|||16|0|0
16|EN|0|sappy|||16|0|0
16|EN|0|serious|||16|0|0
16|EN|0|sheep|||16|0|0
16|EN|0|shot|s||10|6|0
16|EN|0|sixty|||16|0|0
16|EN|0|slope|s||7|9|0
16|EN|0|spite|||16|0|0
16|EN|0|steal|s||5|11|0
16|EN|0|stem|s||5|11|0
16|EN|0|supporter|s||5|11|0
16|EN|0|sure|||16|0|0
16|EN|0|termination|||16|0|0
16|EN|0|throughout|||16|0|0
16|EN|0|trade|||16|0|0
16|EN|0|unaffected|||16|0|0
16|EN|0|undaunted|||16|0|0
16|EN|0|unentangled|||16|0|0
16|EN|0|uninfatuated|||16|0|0
16|EN|0|unprofitable|||16|0|0
16|EN|0|unsmeared|||16|0|0
16|PI|1|uruvelā|||16|0|0
16|PI|0|uttiya|||16|0|0
16|EN|0|victor|s|'s|13|1|2
16|EN|0|wealthy|||16|0|0
16|EN|0|wearer|s|'s|12|2|2
16|EN|0|whirlpool|s||5|11|0
16|EN|0|willing|||16|0|0
16|EN|0|wore|||16|0|0
16|EN|0|worldly|||16|0|0
15|PI|0|abhaya||'s|14|0|1
15|EN|0|arrange|s||14|1|0
15|EN|0|beast|s||3|12|0
15|EN|0|belong|s||7|8|0
15|EN|0|block|s||11|4|0
15|EN|0|border|s||2|13|0
15|EN|0|catch|||15|0|0
15|EN|0|ceasing|||15|0|0
15|EN|0|charge|||15|0|0
15|EN|0|confirmed|||15|0|0
15|EN|0|crooked|||15|0|0
15|EN|0|cruel|||15|0|0
15|EN|0|debauched|||15|0|0
15|EN|0|defensiveness|||15|0|0
15|EN|0|determined|||15|0|0
15|EN|0|donation|s||11|4|0
15|EN|0|drank|||15|0|0
15|EN|0|earthquake|||15|0|0
15|EN|0|ebb|||15|0|0
15|EN|0|ebbing|||15|0|0
15|EN|0|eighteen|||15|0|0
15|EN|0|encouraging|||15|0|0
15|EN|0|endurance|||15|0|0
15|EN|0|escaped|||15|0|0
15|EN|0|evaluating|||15|0|0
15|EN|0|excess|||15|0|0
15|EN|0|expressed|||15|0|0
15|EN|0|fashioned|||15|0|0
15|EN|0|fiber|s||14|1|0
15|EN|0|fowl|||15|0|0
15|EN|0|glamorous|||15|0|0
15|EN|0|goer|s||14|1|0
15|EN|0|grasses|||15|0|0
15|EN|0|greatness|||15|0|0
15|EN|0|grown|||15|0|0
15|EN|0|harass|||15|0|0
15|EN|0|hypocrisy|||15|0|0
15|EN|0|infantry|||15|0|0
15|EN|0|intentionally|||15|0|0
15|EN|0|interest|s||9|6|0
15|EN|0|jewel|s||6|9|0
15|PI|0|kimbila|||15|0|0
15|EN|0|kingship|||15|0|0
15|EN|0|least|||15|0|0
15|EN|0|lovely|||15|0|0
15|PI|0|mahaka|||15|0|0
15|PI|0|makkhali|||15|0|0
15|PI|0|mallaputta|||15|0|0
15|EN|0|mare|s||2|13|0
15|EN|0|masses|||15|0|0
15|EN|0|massive|||15|0|0
15|EN|0|meditative|||15|0|0
15|EN|0|minor|||15|0|0
15|EN|0|modesty|||15|0|0
15|EN|0|note|||15|0|0
15|EN|0|nourished|||15|0|0
15|EN|0|nursing|||15|0|0
15|2E|0|obscuration|s||8|7|0
15|EN|0|observance|s||12|3|0
15|EN|0|original|||15|0|0
15|EN|0|oxen|||15|0|0
15|EN|0|patchwork|||15|0|0
15|EN|0|pebble|s||0|15|0
15|EN|0|permeated|||15|0|0
15|EN|0|pick|s||11|4|0
15|EN|0|piled|||15|0|0
15|EN|0|quiet|||15|0|0
15|EN|0|reap|||15|0|0
15|EN|0|resentment|||15|0|0
15|EN|0|revealed|||15|0|0
15|EN|0|rinsed|||15|0|0
15|EN|0|service|s||9|6|0
15|EN|0|sheath|s||13|2|0
15|EN|0|shooting|||15|0|0
15|EN|0|shored|||15|0|0
15|EN|0|shorter|||15|0|0
15|EN|0|singing|||15|0|0
15|EN|0|slack|||15|0|0
15|EN|0|slander|s||12|3|0
15|EN|0|slight|||15|0|0
15|EN|0|sluggish|||15|0|0
15|EN|0|sorrowing|||15|0|0
15|EN|0|southern|||15|0|0
15|EN|0|stripped|||15|0|0
15|EN|0|stuck|||15|0|0
15|EN|0|suspect|||15|0|0
15|EN|0|thigh|s||10|5|0
15|EN|0|torture|s||12|3|0
15|EN|0|transmigrated|||15|0|0
15|EN|0|trap|||15|0|0
15|EN|0|treated|||15|0|0
15|EN|0|twofold|||15|0|0
15|EN|0|unanalyzed|||15|0|0
15|EN|0|undoing|||15|0|0
15|EN|0|uneven|||15|0|0
15|EN|0|united|||15|0|0
15|EN|0|unloathsomeness|||15|0|0
15|EN|0|untiring|||15|0|0
15|EN|0|value|||15|0|0
